,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:03:28:906 AM,41346.667969,-49174.859375,4868.560059,2.0,27.0,2.0,196.190002,553.992004,258.414001,15.506001,260.0,-140.0,40.0,-1.03,1.0,0.0,true
May 22 2024 10:03:29:4 AM,41402.769531,-49151.109375,4870.029785,2.0,25.0,2.0,197.661011,571.166016,243.908005,14.335001,172.0,-145.0,-12.0,-0.03,1.0,0.0,true
May 22 2024 10:03:29:106 AM,41459.46875,-49126.238281,4871.47998,2.0,24.0,1.0,199.117004,568.938049,239.966019,18.373001,-22.0,-39.0,40.0,-0.03,0.0,0.0,true
May 22 2024 10:03:29:206 AM,41515.808594,-49102.199219,4873.009766,1.0,24.0,1.0,200.646011,565.102051,241.865005,13.604001,-38.0,19.0,-48.0,-0.03,0.0,0.0,true
May 22 2024 10:03:29:300 AM,41568.117188,-49080.058594,4874.049805,1.0,23.0,1.0,201.684006,562.106018,242.826004,10.211,-30.0,10.0,-34.0,-0.03,0.0,0.0,true
May 22 2024 10:03:29:408 AM,41627.820312,-49054.859375,4874.72998,0.0,23.0,1.0,202.362015,549.598999,233.490005,5.771,-125.0,-93.0,-44.0,-0.03,-1.0,0.0,true
May 22 2024 10:03:29:504 AM,41679.007812,-49033.398438,4875.060059,0.0,23.0,1.0,202.697006,539.469055,226.41301,4.446,-101.0,-71.0,-13.0,-0.03,-1.0,0.0,true
May 22 2024 10:03:29:607 AM,41735.5,-49009.890625,4876.27002,0.0,23.0,1.0,203.903015,533.75,219.632004,18.470001,-57.0,-68.0,140.0,-0.03,-1.0,0.0,true
May 22 2024 10:03:29:701 AM,41785.070312,-48989.539062,4878.47998,1.0,22.0,1.0,206.117004,501.585022,203.820007,23.284,-322.0,-158.0,48.0,-0.03,-1.0,0.0,true
May 22 2024 10:03:29:800 AM,41833.929688,-48969.589844,4880.859863,2.0,22.0,1.0,208.496017,471.753021,186.254013,19.097,-298.0,-176.0,-42.0,-0.03,0.0,0.0,true
May 22 2024 10:03:29:904 AM,41883.570312,-48949.867188,4883.290039,3.0,22.0,1.0,210.923004,453.732025,179.527008,20.763,-180.0,-67.0,17.0,-0.03,0.0,0.0,true
May 22 2024 10:03:30:7 AM,41930.800781,-48931.289062,4885.239746,4.0,22.0,1.0,212.869003,440.120026,172.820007,10.916,-136.0,-67.0,-98.0,-0.03,0.0,0.0,true
May 22 2024 10:03:30:105 AM,41973.777344,-48916.148438,4886.97998,4.0,21.0,1.0,214.609009,429.175018,145.466003,23.973001,-109.0,-274.0,131.0,-1.03,0.0,0.0,true
May 22 2024 10:03:30:200 AM,42013.527344,-48906.128906,4889.359863,4.0,19.0,2.0,216.997009,418.601013,104.586006,28.591002,-106.0,-409.0,46.0,-1.03,0.0,0.0,true
May 22 2024 10:03:30:301 AM,42053.46875,-48900.839844,4891.989746,3.0,15.0,2.0,219.62001,403.197021,51.255001,28.028002,-154.0,-533.0,-6.0,-1.03,0.0,0.0,true
May 22 2024 10:03:30:407 AM,42093.898438,-48901.257812,4894.899902,2.0,10.0,2.0,222.539017,377.81601,-14.149001,27.491001,-254.0,-654.0,-5.0,-1.03,0.0,0.0,true
May 22 2024 10:03:30:506 AM,42129.179688,-48906.820312,4897.389648,1.0,4.0,2.0,225.02301,356.978027,-62.056004,23.618002,-208.0,-479.0,-39.0,-1.03,1.0,0.0,true
May 22 2024 10:03:30:604 AM,42162.140625,-48915.988281,4899.22998,1.0,-1.0,2.0,226.860016,343.481018,-96.964005,15.687,-135.0,-349.0,-79.0,-1.03,1.0,0.0,true
May 22 2024 10:03:30:702 AM,42191.230469,-48927.980469,4900.109863,0.0,-6.0,2.0,227.747009,-12.406,-127.77401,-10.473001,-3559.0,-308.0,-262.0,-1.03,0.0,0.0,true
May 22 2024 10:03:30:804 AM,42191.390625,-48927.71875,4899.669922,0.0,-6.0,-1.0,228.186005,-1.069,-16.572001,-1.671,113.0,1112.0,88.0,-1.03,0.0,0.0,true
May 22 2024 10:03:30:904 AM,42191.519531,-48927.488281,4899.609863,0.0,-6.0,-2.0,228.249008,-1.451,0.161,-0.76,-4.0,167.0,9.0,-1.03,0.0,0.0,true
May 22 2024 10:03:31:2 AM,42191.640625,-48927.589844,4899.600098,1.0,-6.0,-2.0,228.265015,-1.437,3.113,-0.349,0.0,30.0,4.0,-1.03,0.0,0.0,true
May 22 2024 10:03:31:100 AM,42191.738281,-48927.738281,4899.600098,1.0,-6.0,-1.0,228.270004,-1.18,2.835,-0.171,3.0,-3.0,2.0,-1.03,1.0,0.0,true
May 22 2024 10:03:31:206 AM,42191.820312,-48927.878906,4899.609863,1.0,-6.0,-1.0,228.282013,-0.816,1.985,0.032,4.0,-9.0,2.0,-1.03,1.0,0.0,true
May 22 2024 10:03:31:307 AM,42191.859375,-48927.980469,4899.620117,1.0,-6.0,-1.0,228.291016,-0.546,1.332,-0.091,3.0,-7.0,-1.0,-1.03,1.0,0.0,true
May 22 2024 10:03:31:408 AM,42191.890625,-48928.050781,4899.620117,1.0,-6.0,-1.0,228.294006,-0.359,0.861,-0.052,2.0,-5.0,0.0,-1.03,1.0,0.0,true
May 22 2024 10:03:31:501 AM,42191.910156,-48928.109375,4899.620117,1.0,-6.0,-1.0,228.294006,1.256,-0.524,-0.074,16.0,-14.0,0.0,-1.03,1.0,0.0,true
May 22 2024 10:03:31:605 AM,42192.140625,-48928.300781,4899.629883,1.0,-6.0,-1.0,228.297012,5.451,-2.574,-0.039,42.0,-20.0,0.0,-1.03,1.0,0.0,true
May 22 2024 10:03:31:708 AM,42194.199219,-48929.4375,4899.699707,1.0,-6.0,0.0,228.368011,29.292002,-11.263,0.468,238.0,-87.0,5.0,-1.03,1.0,0.0,true
May 22 2024 10:03:31:801 AM,42196.539062,-48930.589844,4899.72998,1.0,-7.0,0.0,228.39801,4.832,-5.241,0.005,-245.0,60.0,-5.0,-0.03,-1.0,0.0,true
May 22 2024 10:03:31:909 AM,42193.25,-48929.808594,4899.560059,1.0,-7.0,-1.0,228.567017,-44.445004,7.212,-0.798,-493.0,125.0,-8.0,-0.03,-1.0,0.0,true
May 22 2024 10:03:32:4 AM,42185.589844,-48928.820312,4899.239746,0.0,-6.0,-1.0,228.884018,-95.700005,10.387,-3.697,-513.0,32.0,-29.0,-0.03,-1.0,0.0,true
May 22 2024 10:03:32:101 AM,42173.460938,-48927.328125,4898.709961,0.0,-6.0,-1.0,229.414017,-139.432007,13.956,-5.705,-437.0,36.0,-20.0,-0.03,-1.0,0.0,false
May 22 2024 10:03:32:203 AM,42157.097656,-48925.339844,4898.040039,0.0,-6.0,-1.0,230.089005,-180.216003,17.515001,-7.440001,-408.0,36.0,-17.0,-0.03,-1.0,0.0,false
May 22 2024 10:03:32:306 AM,42136.757812,-48922.96875,4897.350098,0.0,-6.0,-1.0,230.781006,-219.684006,22.084002,-7.477,-395.0,46.0,0.0,-0.03,-1.0,0.0,false
May 22 2024 10:03:32:407 AM,42112.640625,-48920.238281,4896.319824,0.0,-6.0,-1.0,231.802017,-254.947006,27.551001,-14.052001,-353.0,55.0,-66.0,-0.03,1.0,0.0,false
May 22 2024 10:03:32:500 AM,42089.527344,-48917.617188,4894.989746,1.0,-6.0,-1.0,233.132004,-258.318024,28.550001,-16.436001,-34.0,10.0,-24.0,-0.03,1.0,0.0,false
May 22 2024 10:03:32:602 AM,42065.847656,-48914.96875,4893.589844,2.0,-6.0,-1.0,234.537018,-231.852005,25.530001,-15.200001,265.0,-30.0,12.0,-0.03,1.0,0.0,false
May 22 2024 10:03:32:703 AM,42045.960938,-48912.777344,4892.429688,3.0,-6.0,-1.0,235.695007,-194.167007,21.056002,-12.919001,377.0,-45.0,23.0,-0.03,1.0,0.0,false
May 22 2024 10:03:32:805 AM,42029.839844,-48911.039062,4891.509766,4.0,-6.0,-1.0,236.619019,-151.490005,16.099001,-10.115001,427.0,-50.0,28.0,-0.03,1.0,0.0,false
