,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 20 2024 2:45:40:680 PM,37602.628906,-49438.570312,4911.639648,-3.0,0.0,2.0,108.339005,0.193,0.161,2.114,-1.0,-3.0,-13.0,-0.02,0.0,0.0,true
May 20 2024 2:45:40:780 PM,37602.621094,-49438.609375,4911.799805,-3.0,0.0,2.0,108.507004,0.122,-0.087,1.34,-1.0,-2.0,-8.0,-0.02,1.0,0.0,true
May 20 2024 2:45:40:880 PM,37602.980469,-49438.628906,4911.899902,-3.0,0.0,2.0,108.600006,8.150001,-0.301,0.432,80.0,-2.0,-9.0,-0.02,1.0,0.0,true
May 20 2024 2:45:40:980 PM,37605.160156,-49438.699219,4911.879883,-3.0,0.0,2.0,108.616005,29.170002,-0.513,-1.054,210.0,-2.0,-15.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:80 PM,37610.847656,-49438.808594,4911.679688,-3.0,0.0,2.0,108.818008,72.015007,-1.072,-3.714,428.0,-6.0,-27.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:180 PM,37620.949219,-49438.980469,4911.199707,-2.0,0.0,2.0,109.294006,113.878006,-1.26,-6.343,419.0,-2.0,-26.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:280 PM,37634.878906,-49439.160156,4910.5,-2.0,0.0,2.0,109.992004,153.162003,-1.995,-8.276,393.0,-7.0,-19.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:380 PM,37652.527344,-49439.410156,4909.589844,-2.0,0.0,2.0,110.904007,191.461014,-2.695,-10.255,383.0,-7.0,-20.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:480 PM,37673.898438,-49439.75,4908.47998,-2.0,-1.0,2.0,112.019005,229.416016,-3.462,-12.198001,380.0,-8.0,-19.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:580 PM,37697.230469,-49439.867188,4906.399902,-2.0,-1.0,2.0,114.102005,250.16301,-14.617001,-25.497002,207.0,-112.0,-133.0,-0.02,1.0,0.0,true
