,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 10:59:11:480 AM,37614.898438,-49439.058594,4911.580078,-2.0,0.0,3.0,109.789001,86.927002,-2.708,-5.024,372.0,-15.0,-24.0,-0.09,1.0,0.0,0.0,true
Jun 4 2024 10:59:11:580 AM,37626.777344,-49439.609375,4910.959961,-2.0,0.0,3.0,110.407005,131.638,-5.184,-7.643,447.0,-25.0,-26.0,-0.12,1.0,0.0,0.0,true
Jun 4 2024 10:59:11:679 AM,37642.417969,-49440.527344,4910.149902,-2.0,-1.0,3.0,111.217003,171.770004,-9.036,-9.136001,401.0,-39.0,-15.0,-0.15,1.0,0.0,0.0,true
Jun 4 2024 10:59:11:794 AM,37665.078125,-49442.277344,4908.949707,-2.0,-2.0,3.0,112.420006,216.109009,-14.992001,-11.926001,443.0,-60.0,-28.0,-0.18,1.0,0.0,0.0,true
Jun 4 2024 10:59:11:884 AM,37686.390625,-49444.320312,4907.819824,-2.0,-2.0,3.0,113.549004,250.399017,-21.402,-13.249001,343.0,-64.0,-13.0,-0.2,1.0,0.0,0.0,true
Jun 4 2024 10:59:11:995 AM,37716.410156,-49447.878906,4906.239746,-2.0,-3.0,3.0,115.136009,291.563019,-31.949001,-15.721001,412.0,-105.0,-25.0,-0.23,1.0,0.0,0.0,true
Jun 4 2024 10:59:12:82 AM,37743.519531,-49451.738281,4904.859863,-2.0,-4.0,3.0,116.509003,323.936005,-43.525002,-16.08,324.0,-116.0,-4.0,-0.25,1.0,0.0,0.0,true
Jun 4 2024 10:59:12:193 AM,37781.800781,-49458.308594,4903.129883,-1.0,-6.0,4.0,118.240005,363.163025,-61.488003,-15.914001,392.0,-180.0,2.0,-0.27,1.0,0.0,0.0,true
Jun 4 2024 10:59:12:295 AM,37819.71875,-49466.078125,4901.5,-1.0,-8.0,4.0,119.871002,396.97403,-80.003006,-16.978001,338.0,-185.0,-11.0,-0.28,1.0,0.0,0.0,true
Jun 4 2024 10:59:12:382 AM,37856.757812,-49474.800781,4899.989746,-1.0,-10.0,4.0,121.386009,426.120026,-98.684006,-17.293001,291.0,-187.0,-3.0,-0.27,0.97,0.0,0.0,true
Jun 4 2024 10:59:12:492 AM,37905.628906,-49487.929688,4898.080078,-1.0,-12.0,4.0,123.292007,459.695007,-123.765007,-18.616001,336.0,-251.0,-13.0,-0.26,0.97,0.0,0.0,true
Jun 4 2024 10:59:12:598 AM,37955.5,-49503.089844,4896.27002,-1.0,-14.0,5.0,125.098007,489.745026,-148.824005,-17.089001,300.0,-251.0,15.0,-0.24,0.96,0.0,0.0,true
Jun 4 2024 10:59:12:687 AM,38000.699219,-49518.089844,4894.75,-1.0,-16.0,5.0,126.625008,514.160034,-170.586014,-17.469002,244.0,-218.0,-4.0,-0.21,0.95,0.0,0.0,true
Jun 4 2024 10:59:12:779 AM,38049.308594,-49535.277344,4893.149902,-1.0,-17.0,5.0,128.218002,538.614014,-191.332016,-17.866001,245.0,-207.0,-4.0,-0.17,0.95,0.0,0.0,true
Jun 4 2024 10:59:12:886 AM,38108.527344,-49557.199219,4891.209961,0.0,-19.0,5.0,130.164001,566.44104,-213.196014,-18.251001,278.0,-219.0,-4.0,-0.12,0.93,0.0,0.0,true
Jun 4 2024 10:59:12:994 AM,38171.429688,-49581.078125,4889.209961,0.0,-20.0,4.0,132.159012,594.355042,-229.821014,-18.106001,279.0,-166.0,1.0,-0.06,0.82,0.0,0.0,true
Jun 4 2024 10:59:13:88 AM,38227.859375,-49602.578125,4887.509766,0.0,-21.0,4.0,133.863007,616.703003,-239.137009,-17.728001,223.0,-93.0,4.0,-0.02,0.71,0.0,0.0,true
Jun 4 2024 10:59:13:182 AM,38287.609375,-49625.097656,4885.75,-1.0,-21.0,4.0,135.626007,635.934021,-245.656006,-18.579,192.0,-65.0,-9.0,0.01,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:289 AM,38356.621094,-49650.597656,4883.689941,-1.0,-21.0,3.0,137.680008,653.82605,-247.95401,-18.714001,179.0,-23.0,-1.0,0.03,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:379 AM,38416.769531,-49672.179688,4881.949707,-1.0,-20.0,3.0,139.424011,667.239014,-245.477005,-18.700001,134.0,25.0,0.0,0.05,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:484 AM,38487.988281,-49696.679688,4879.959961,-1.0,-19.0,2.0,141.416,681.115051,-238.488007,-18.321001,139.0,70.0,4.0,0.07,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:587 AM,38558.398438,-49719.558594,4878.089844,-1.0,-19.0,2.0,143.284012,693.317017,-228.678009,-17.759001,122.0,98.0,6.0,0.08,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:690 AM,38630.800781,-49741.6875,4876.25,-1.0,-18.0,1.0,145.12001,704.227051,-218.146011,-17.390001,109.0,105.0,4.0,0.08,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:784 AM,38699.019531,-49761.378906,4874.609863,-1.0,-17.0,1.0,146.759003,713.282043,-207.820007,-16.553001,91.0,103.0,8.0,0.08,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:888 AM,38773.0,-49781.457031,4872.919922,-1.0,-16.0,1.0,148.446014,722.111023,-196.582016,-16.129002,88.0,112.0,4.0,0.08,0.67,0.0,0.0,true
Jun 4 2024 10:59:13:985 AM,38844.089844,-49799.519531,4871.379883,-1.0,-15.0,0.0,149.993011,729.67804,-186.006012,-15.702001,76.0,106.0,4.0,0.07,0.67,0.0,0.0,true
Jun 4 2024 10:59:14:91 AM,38921.628906,-49818.039062,4869.759766,-1.0,-14.0,0.0,151.616013,737.238037,-174.911011,-15.240001,76.0,111.0,5.0,0.07,0.67,0.0,0.0,true
Jun 4 2024 10:59:14:197 AM,39000.519531,-49835.757812,4868.169922,-1.0,-13.0,0.0,153.202011,743.975037,-165.544006,-14.655001,67.0,94.0,6.0,0.06,0.7,0.0,0.0,true
Jun 4 2024 10:59:14:287 AM,39064.699219,-49849.5,4866.97998,-1.0,-13.0,0.0,154.396011,749.489014,-159.802002,-13.447001,55.0,57.0,12.0,0.05,0.79,0.0,0.0,true
Jun 4 2024 10:59:14:381 AM,39138.46875,-49864.828125,4865.689941,-1.0,-12.0,0.0,155.679001,757.753052,-156.192001,-13.009001,83.0,36.0,4.0,0.03,0.93,0.0,0.0,true
